bank_txn_id,utr,credit_amount,debit_amount,balance,value_date,transaction_date,raw_description,parsed_utr,account_number
bank_base_0001,AXISCN5763350700,16774641,,,2026-08-04T13:00:00,2026-08-04T13:00:00,CMS/NEFT/AXISCN5763350700/RAZORPAY SETTLEMENT,AXISCN5763350700,ACC9988776655
bank_base_0002,AXISCN3163970710,19743281,,,2026-08-07T13:00:00,2026-08-07T13:00:00,CMS/NEFT/AXISCN3163970710/RAZORPAY SETTLEMENT,AXISCN3163970710,ACC9988776655
bank_base_0003,AXISCN9776185998,15252377,,,2026-08-10T13:00:00,2026-08-10T13:00:00,CMS/NEFT/AXISCN9776185998/RAZORPAY SETTLEMENT,AXISCN9776185998,ACC9988776655
bank_base_0004,AXISCN7534583219,13802299,,,2026-08-13T13:00:00,2026-08-13T13:00:00,CMS/NEFT/AXISCN7534583219/RAZORPAY SETTLEMENT,AXISCN7534583219,ACC9988776655
bank_base_0005,AXISCN5140460939,15584112,,,2026-08-16T13:00:00,2026-08-16T13:00:00,CMS/NEFT/AXISCN5140460939/RAZORPAY SETTLEMENT,AXISCN5140460939,ACC9988776655
bank_base_0006,AXISCN7019900273,15694018,,,2026-08-19T13:00:00,2026-08-19T13:00:00,CMS/NEFT/AXISCN7019900273/RAZORPAY SETTLEMENT,AXISCN7019900273,ACC9988776655
bank_base_0007,AXISCN3946766309,15713012,,,2026-08-22T13:00:00,2026-08-22T13:00:00,CMS/NEFT/AXISCN3946766309/RAZORPAY SETTLEMENT,AXISCN3946766309,ACC9988776655
bank_base_0008,AXISCN9202102595,18508572,,,2026-08-25T13:00:00,2026-08-25T13:00:00,CMS/NEFT/AXISCN9202102595/RAZORPAY SETTLEMENT,AXISCN9202102595,ACC9988776655
bank_base_0009,AXISCN5641959772,14895853,,,2026-08-28T13:00:00,2026-08-28T13:00:00,CMS/NEFT/AXISCN5641959772/RAZORPAY SETTLEMENT,AXISCN5641959772,ACC9988776655
bank_base_0010,AXISCN3612617557,16234839,,,2026-08-31T13:00:00,2026-08-31T13:00:00,CMS/NEFT/AXISCN3612617557/RAZORPAY SETTLEMENT,AXISCN3612617557,ACC9988776655
bank_scen_001_8433,AXISCN7573691558,288200,,,2026-08-04T12:00:00,2026-08-04T12:00:00,CMS/NEFT/AXISCN7573691558/RAZORPAY SETTLEMENT,AXISCN7573691558,ACC9988776655
bank_scen_002_7532,HDFCN8848705807,531120,,,2026-08-07T12:00:00,2026-08-07T12:00:00,CMS/NEFT/HDFCN8848705807/RAZORPAY,HDFCN8848705807,ACC9988776655
bank_scen_003_2099,ICICN9259157845,476400,,,2026-08-10T12:00:00,2026-08-10T12:00:00,CMS/NEFT/ICICN9259157845/RAZORPAY,ICICN9259157845,ACC9988776655
bank_scen_004_6793,SBIN005819946657,1364600,,,2026-08-13T12:00:00,2026-08-13T12:00:00,CMS/NEFT/SBIN005819946657/RAZORPAY,SBIN005819946657,ACC9988776655
bank_scen_005_6736,KOTAKN1913706213,341740,,,2026-08-16T12:00:00,2026-08-16T12:00:00,CMS/NEFT/KOTAKN1913706213/RAZORPAY,KOTAKN1913706213,ACC9988776655
bank_scen_007_1100,BARBN6754503097,1952800,,,2026-08-23T23:00:00,2026-08-23T23:00:00,CMS/NEFT/BARBN6754503097/RAZORPAY,BARBN6754503097,ACC9988776655
bank_scen_008_2503,PUNBN5173893550,771680,,,2026-08-25T12:00:00,2026-08-25T12:00:00,CMS/NEFT/PUNBN5173893550/RAZORPAY,PUNBN5173893550,ACC9988776655
bank_scen_009_1861,UNIONN3560761628,528760,,,2026-08-28T12:00:00,2026-08-28T12:00:00,CMS/NEFT/UNIONN3560761628/RAZORPAY,UNIONN3560761628,ACC9988776655
bank_scen_010_7947,IDBIN06463640105,1429200,,,2026-08-30T12:00:00,2026-08-30T12:00:00,CMS/NEFT/IDBIN06463640105/RAZORPAY,IDBIN06463640105,ACC9988776655
