event_id,upi_transaction_id,timestamp,previous_state,new_state,event_type,amount,rrn,source
upievt_base_0001_1,upi_base_0001,2026-08-01T13:49:22,INITIATED,PENDING,UPI_INTENT_SENT,2105200,908053162473,webhook
upievt_base_0001_2,upi_base_0001,2026-08-01T13:50:10,PENDING,CAPTURED,WEBHOOK_CAPTURED,2105200,908053162473,webhook
upievt_base_0003_1,upi_base_0003,2026-08-01T23:28:04,INITIATED,PENDING,UPI_INTENT_SENT,317000,886833016361,webhook
upievt_base_0003_2,upi_base_0003,2026-08-01T23:28:23,PENDING,CAPTURED,WEBHOOK_CAPTURED,317000,886833016361,webhook
upievt_base_0004_1,upi_base_0004,2026-08-02T04:15:24,INITIATED,PENDING,UPI_INTENT_SENT,1481900,566854953850,webhook
upievt_base_0004_2,upi_base_0004,2026-08-02T04:15:46,PENDING,CAPTURED,WEBHOOK_CAPTURED,1481900,566854953850,webhook
upievt_base_0005_1,upi_base_0005,2026-08-02T09:03:33,INITIATED,PENDING,UPI_INTENT_SENT,519400,204710990461,webhook
upievt_base_0005_2,upi_base_0005,2026-08-02T09:04:32,PENDING,CAPTURED,WEBHOOK_CAPTURED,519400,204710990461,webhook
upievt_base_0006_1,upi_base_0006,2026-08-02T13:51:43,INITIATED,PENDING,UPI_INTENT_SENT,1137000,235447068293,webhook
upievt_base_0006_2,upi_base_0006,2026-08-02T13:51:53,PENDING,CAPTURED,WEBHOOK_CAPTURED,1137000,235447068293,webhook
upievt_base_0007_1,upi_base_0007,2026-08-02T18:37:05,INITIATED,PENDING,UPI_INTENT_SENT,1818900,873919986476,webhook
upievt_base_0007_2,upi_base_0007,2026-08-02T18:37:12,PENDING,CAPTURED,WEBHOOK_CAPTURED,1818900,873919986476,webhook
upievt_base_0008_1,upi_base_0008,2026-08-02T23:27:44,INITIATED,PENDING,UPI_INTENT_SENT,2176800,211095701426,webhook
upievt_base_0008_2,upi_base_0008,2026-08-02T23:28:06,PENDING,CAPTURED,WEBHOOK_CAPTURED,2176800,211095701426,webhook
upievt_base_0009_1,upi_base_0009,2026-08-03T04:14:46,INITIATED,PENDING,UPI_INTENT_SENT,1495700,835339233454,webhook
upievt_base_0009_2,upi_base_0009,2026-08-03T04:15:35,PENDING,CAPTURED,WEBHOOK_CAPTURED,1495700,835339233454,webhook
upievt_base_0010_1,upi_base_0010,2026-08-03T09:01:53,INITIATED,PENDING,UPI_INTENT_SENT,2249800,369419548116,webhook
upievt_base_0010_2,upi_base_0010,2026-08-03T09:02:27,PENDING,CAPTURED,WEBHOOK_CAPTURED,2249800,369419548116,webhook
upievt_base_0011_1,upi_base_0011,2026-08-03T13:51:16,INITIATED,PENDING,UPI_INTENT_SENT,1253300,852562516774,webhook
upievt_base_0011_2,upi_base_0011,2026-08-03T13:52:01,PENDING,FAILED,WEBHOOK_FAILED,1253300,852562516774,webhook
upievt_base_0012_1,upi_base_0012,2026-08-03T18:38:18,INITIATED,PENDING,UPI_INTENT_SENT,193200,169869415070,webhook
upievt_base_0012_2,upi_base_0012,2026-08-03T18:38:59,PENDING,CAPTURED,WEBHOOK_CAPTURED,193200,169869415070,webhook
upievt_base_0013_1,upi_base_0013,2026-08-03T23:25:41,INITIATED,PENDING,UPI_INTENT_SENT,2362400,388376437635,webhook
upievt_base_0013_2,upi_base_0013,2026-08-03T23:26:01,PENDING,CAPTURED,WEBHOOK_CAPTURED,2362400,388376437635,webhook
upievt_base_0014_1,upi_base_0014,2026-08-04T04:15:54,INITIATED,PENDING,UPI_INTENT_SENT,2451100,743806247029,webhook
