Scenario,Strategy,Task Category,Case ID,Settlement ID,Variance (INR),Applicable,True Causes Expected,True Causes Retrieved,Recall (%),Candidates Retrieved,Precision (%),Decoys Present,Decoys Rejected,Decoy Rejection (%),Provenance Coverage (%),Latency (ms),Notes
VAR-001_REFUND_VARIANCE,DIRECT_ID,SETTLEMENT_RCA,CASE-001,setl_scen_001_9984,-2000.00,YES,1,1,100.0%,5,20.0%,0,0,N/A,100.0%,0.17,
VAR-001_REFUND_VARIANCE,ATTRIBUTE,SETTLEMENT_RCA,CASE-001,setl_scen_001_9984,-2000.00,YES,1,1,100.0%,1,100.0%,0,0,N/A,100.0%,0.06,
VAR-001_REFUND_VARIANCE,RELATIONSHIP,SETTLEMENT_RCA,CASE-001,setl_scen_001_9984,-2000.00,YES,1,1,100.0%,2,50.0%,0,0,N/A,100.0%,0.14,
VAR-001_REFUND_VARIANCE,TYPED_PROVENANCE,SETTLEMENT_RCA,CASE-001,setl_scen_001_9984,-2000.00,YES,1,1,100.0%,2,50.0%,0,0,N/A,100.0%,0.13,
VAR-001_REFUND_VARIANCE,TEMPORAL_RELATIONSHIP,SETTLEMENT_RCA,CASE-001,setl_scen_001_9984,-2000.00,YES,1,1,100.0%,2,50.0%,0,0,N/A,100.0%,0.10,
VAR-001_REFUND_VARIANCE,UPI_EVENT,SETTLEMENT_RCA,CASE-001,setl_scen_001_9984,-2000.00,NO (N/A),N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,0.00,Strategy UPI_EVENT not applicable to SETTLEMENT_RCA
VAR-002_SAME_AMOUNT_DECOY,DIRECT_ID,SETTLEMENT_RCA,CASE-002,setl_scen_002_8398,-2500.00,YES,1,1,100.0%,5,20.0%,1,1,100.0%,100.0%,0.07,
VAR-002_SAME_AMOUNT_DECOY,ATTRIBUTE,SETTLEMENT_RCA,CASE-002,setl_scen_002_8398,-2500.00,YES,1,1,100.0%,2,50.0%,1,0,0.0%,100.0%,0.04,Decoys captured: ['rfnd_scen_002_decoy_8046']
VAR-002_SAME_AMOUNT_DECOY,RELATIONSHIP,SETTLEMENT_RCA,CASE-002,setl_scen_002_8398,-2500.00,YES,1,1,100.0%,2,50.0%,1,1,100.0%,100.0%,0.06,
VAR-002_SAME_AMOUNT_DECOY,TYPED_PROVENANCE,SETTLEMENT_RCA,CASE-002,setl_scen_002_8398,-2500.00,YES,1,1,100.0%,2,50.0%,1,1,100.0%,100.0%,0.09,
VAR-002_SAME_AMOUNT_DECOY,TEMPORAL_RELATIONSHIP,SETTLEMENT_RCA,CASE-002,setl_scen_002_8398,-2500.00,YES,1,1,100.0%,2,50.0%,1,1,100.0%,100.0%,0.08,
VAR-002_SAME_AMOUNT_DECOY,UPI_EVENT,SETTLEMENT_RCA,CASE-002,setl_scen_002_8398,-2500.00,NO (N/A),N/A,N/A,N/A,0,N/A,N/A,N/A,N/A,N/A,0.00,Strategy UPI_EVENT not applicable to SETTLEMENT_RCA
VAR-003_PARTIAL_EXPLANATION,DIRECT_ID,SETTLEMENT_RCA,CASE-003,setl_scen_003_7992,2000.00,YES,1,1,100.0%,5,20.0%,0,0,N/A,100.0%,0.05,
