Scenario,Case ID,Settlement ID,Variance (INR),Expected Outcome,Observed Outcome,Outcome Match,Winning Hypothesis,Evidence Level,Explained (INR),Unexplained (INR),Hypotheses Evaluated,Hypotheses Rejected,Latency (ms)
VAR-001_REFUND_VARIANCE,CASE-001,setl_scen_001_9984,-2000.00,RESOLVED,RESOLVED,PASS,hyp_single_1_rfnd_scen_001_5505,L5,-2000.00,0.00,1,0,0.44
VAR-002_SAME_AMOUNT_DECOY,CASE-002,setl_scen_002_8398,-2500.00,RESOLVED,RESOLVED,PASS,hyp_single_1_rfnd_scen_002_real_4522,L5,-2500.00,0.00,1,0,0.47
VAR-003_PARTIAL_EXPLANATION,CASE-003,setl_scen_003_7992,2000.00,PARTIALLY_RESOLVED,PARTIALLY_RESOLVED,PASS,hyp_single_1_rfnd_scen_003_6120,L3,-3000.00,-2000.00,1,0,0.20
VAR-004_MULTIPLE_EVENT_EXPLANATION,CASE-004,setl_scen_004_2582,-1000.00,RESOLVED,RESOLVED,PASS,hyp_comp_rfnd_scen_004_2527_adj_scen_004_8075,L5,-1000.00,0.00,3,0,0.32
VAR-005_UPI_LATE_SUCCESS,CASE-005,setl_scen_005_6761,0.00,RESOLVED,RESOLVED,PASS,hyp_upi_1_upi_scen_005_5712,L5,3500.00,-3500.00,1,0,0.19
VAR-006_UPI_DEBIT_REVERSAL,CASE-006,N/A,0.00,RESOLVED,RESOLVED,PASS,hyp_upi_1_upi_scen_006_5564,L5,0.00,0.00,1,0,0.16
VAR-007_DELAYED_BANK_CREDIT,CASE-007,setl_scen_007_3955,0.00,VALID_DELAYED_CREDIT,VALID_DELAYED_CREDIT,PASS,hyp_bank_delayed_CASE-007,L5,0.00,0.00,1,0,0.15
VAR-008_WRONG_DATE_DECOY,CASE-008,setl_scen_008_2140,4000.00,ESCALATE,ESCALATE,PASS,None,None,0.00,4000.00,1,1,0.17
VAR-009_WRONG_PAYMENT_DECOY,CASE-009,setl_scen_009_6585,3500.00,ESCALATE,ESCALATE,PASS,None,None,0.00,3500.00,1,1,0.13
VAR-010_COMPLETELY_UNEXPLAINED,CASE-010,setl_scen_010_1815,15000.00,ESCALATE,ESCALATE,PASS,None,None,0.00,15000.00,1,1,0.11
