Scenario,Case ID,Settlement ID,Variance (INR),Expected Outcome,Phase 5 Outcome,Phase 6 Outcome,Phase 7 Outcome,Phase 7 Match,Rounds,Tool Calls,Evidence Count,Revisions,Latency (ms)
VAR-001_REFUND_VARIANCE,CASE-001,setl_scen_001_9984,-2000.00,RESOLVED,RESOLVED,RESOLVED,RESOLVED,PASS,1,0,2,0,0.81
VAR-002_SAME_AMOUNT_DECOY,CASE-002,setl_scen_002_8398,-2500.00,RESOLVED,RESOLVED,RESOLVED,RESOLVED,PASS,1,0,2,1,0.53
VAR-003_PARTIAL_EXPLANATION,CASE-003,setl_scen_003_7992,-5000.00,PARTIALLY_RESOLVED,PARTIALLY_RESOLVED,PARTIALLY_RESOLVED,PARTIALLY_RESOLVED,PASS,1,0,2,0,0.47
VAR-004_MULTIPLE_EVENT_EXPLANATION,CASE-004,setl_scen_004_2582,-1000.00,RESOLVED,RESOLVED,RESOLVED,RESOLVED,PASS,1,0,3,0,0.66
VAR-005_UPI_LATE_SUCCESS,CASE-005,setl_scen_005_6761,0.00,RESOLVED,RESOLVED,RESOLVED,RESOLVED,PASS,1,0,1,0,0.43
VAR-006_UPI_DEBIT_REVERSAL,CASE-006,N/A,0.00,RESOLVED,RESOLVED,RESOLVED,RESOLVED,PASS,1,0,1,0,0.36
VAR-007_DELAYED_BANK_CREDIT,CASE-007,setl_scen_007_3955,0.00,VALID_DELAYED_CREDIT,VALID_DELAYED_CREDIT,VALID_DELAYED_CREDIT,VALID_DELAYED_CREDIT,PASS,1,0,3,0,0.43
VAR-008_WRONG_DATE_DECOY,CASE-008,setl_scen_008_2140,4000.00,ESCALATE,ESCALATE,ESCALATE,ESCALATE,PASS,1,0,1,1,0.35
VAR-009_WRONG_PAYMENT_DECOY,CASE-009,setl_scen_009_6585,3500.00,ESCALATE,ESCALATE,ESCALATE,ESCALATE,PASS,1,0,1,1,0.31
VAR-010_COMPLETELY_UNEXPLAINED,CASE-010,setl_scen_010_1815,15000.00,ESCALATE,ESCALATE,ESCALATE,ESCALATE,PASS,1,0,1,0,0.30
AG-001_MISSING_MEMBERSHIP,CASE-AG-001,setl_scen_004_2582,-1000.00,RESOLVED,RESOLVED,PARTIALLY_RESOLVED,RESOLVED,PASS,2,1,4,0,0.91
AG-002_WRONG_MEMBERSHIP,CASE-AG-002,setl_scen_002_8398,-2500.00,ESCALATE,RESOLVED,RESOLVED,ESCALATE,PASS,2,1,2,1,0.72
AG-003_MISSING_UPI_HISTORY,CASE-AG-003,N/A,0.00,RESOLVED,RESOLVED,RESOLVED,RESOLVED,PASS,2,1,2,0,0.71
AG-004_LATE_UPI_SUCCESS,CASE-AG-004,setl_scen_005_6761,0.00,RESOLVED,RESOLVED,ESCALATE,RESOLVED,PASS,2,1,2,0,0.77
AG-005_CONFLICTING_REFUND,CASE-AG-005,setl_scen_002_8398,-2500.00,ESCALATE,RESOLVED,ESCALATE,ESCALATE,PASS,2,1,2,1,1.33
AG-006_TRULY_UNEXPLAINED,CASE-AG-006,setl_scen_010_1815,-15000.00,ESCALATE,ESCALATE,ESCALATE,ESCALATE,PASS,2,1,1,0,0.54
AG-007_DECOY_EXPLOSION,CASE-AG-007,setl_scen_002_8398,-2500.00,RESOLVED,RESOLVED,ESCALATE,RESOLVED,PASS,2,1,3,1,0.84
AG-008_MULTI_STEP_FLAGSHIP,CASE-AG-008,setl_scen_004_2582,-1000.00,RESOLVED,RESOLVED,ESCALATE,RESOLVED,PASS,3,2,4,0,1.11
