Scenario,Category,Ground Truth,Phase 5,Phase 6,Phase 7,Phase 5 Correct,Phase 6 Correct,Phase 7 Correct,Phase 5 Failure Type,Phase 6 Failure Type,Phase 7 Failure Type,Rounds,Tool Calls,Unique Evidence,Evidence Efficiency (%),Latency (ms)
VAR-001_REFUND_VARIANCE,Settlement RCA,RESOLVED,RESOLVED,RESOLVED,RESOLVED,PASS,PASS,PASS,NONE,NONE,NONE,1,0,2,50.0,0.92
VAR-002_SAME_AMOUNT_DECOY,Settlement RCA,RESOLVED,RESOLVED,RESOLVED,RESOLVED,PASS,PASS,PASS,NONE,NONE,NONE,1,0,2,50.0,0.54
VAR-003_PARTIAL_EXPLANATION,Settlement RCA,PARTIALLY_RESOLVED,PARTIALLY_RESOLVED,PARTIALLY_RESOLVED,PARTIALLY_RESOLVED,PASS,PASS,PASS,NONE,NONE,NONE,1,0,2,50.0,1.41
VAR-004_MULTIPLE_EVENT_EXPLANATION,Settlement RCA,RESOLVED,RESOLVED,RESOLVED,RESOLVED,PASS,PASS,PASS,NONE,NONE,NONE,1,0,3,66.7,0.54
VAR-005_UPI_LATE_SUCCESS,UPI State Investigation,RESOLVED,RESOLVED,RESOLVED,RESOLVED,PASS,PASS,PASS,NONE,NONE,NONE,1,0,1,100.0,0.42
VAR-006_UPI_DEBIT_REVERSAL,UPI State Investigation,RESOLVED,RESOLVED,RESOLVED,RESOLVED,PASS,PASS,PASS,NONE,NONE,NONE,1,0,1,N/A,0.35
VAR-007_DELAYED_BANK_CREDIT,Bank Settlement State,VALID_DELAYED_CREDIT,VALID_DELAYED_CREDIT,VALID_DELAYED_CREDIT,VALID_DELAYED_CREDIT,PASS,PASS,PASS,NONE,NONE,NONE,1,0,3,N/A,0.44
VAR-008_WRONG_DATE_DECOY,Settlement RCA,ESCALATE,ESCALATE,ESCALATE,ESCALATE,PASS,PASS,PASS,NONE,NONE,NONE,1,0,1,N/A,0.48
VAR-009_WRONG_PAYMENT_DECOY,Settlement RCA,ESCALATE,ESCALATE,ESCALATE,ESCALATE,PASS,PASS,PASS,NONE,NONE,NONE,1,0,1,N/A,0.32
VAR-010_COMPLETELY_UNEXPLAINED,Settlement RCA,ESCALATE,ESCALATE,ESCALATE,ESCALATE,PASS,PASS,PASS,NONE,NONE,NONE,1,0,1,N/A,0.32
AG-001_MISSING_MEMBERSHIP,Agentic Investigation,RESOLVED,RESOLVED,PARTIALLY_RESOLVED,RESOLVED,PASS,FAIL,PASS,NONE,OTHER,NONE,2,1,4,50.0,0.84
AG-002_WRONG_MEMBERSHIP,Agentic Investigation,ESCALATE,RESOLVED,RESOLVED,ESCALATE,FAIL,FAIL,PASS,FALSE_CLOSURE,FALSE_CLOSURE,NONE,2,1,2,N/A,0.69
AG-003_MISSING_UPI_HISTORY,Agentic Investigation,RESOLVED,RESOLVED,RESOLVED,RESOLVED,PASS,PASS,PASS,NONE,NONE,NONE,2,1,2,50.0,0.70
AG-004_LATE_UPI_SUCCESS,Agentic Investigation,RESOLVED,RESOLVED,ESCALATE,RESOLVED,PASS,FAIL,PASS,NONE,FALSE_ESCALATION,NONE,2,1,2,50.0,0.83
AG-005_CONFLICTING_REFUND,Agentic Investigation,ESCALATE,RESOLVED,ESCALATE,ESCALATE,FAIL,PASS,PASS,FALSE_CLOSURE,NONE,NONE,2,1,2,N/A,1.39
AG-006_TRULY_UNEXPLAINED,Agentic Investigation,ESCALATE,ESCALATE,ESCALATE,ESCALATE,PASS,PASS,PASS,NONE,NONE,NONE,2,1,1,N/A,0.53
AG-007_DECOY_EXPLOSION,Agentic Investigation,RESOLVED,RESOLVED,ESCALATE,RESOLVED,PASS,FAIL,PASS,NONE,FALSE_ESCALATION,NONE,2,1,3,33.3,0.75
AG-008_MULTI_STEP_FLAGSHIP,Agentic Investigation,RESOLVED,RESOLVED,ESCALATE,RESOLVED,PASS,FAIL,PASS,NONE,FALSE_ESCALATION,NONE,3,2,4,50.0,1.13
AG-009_REDUNDANT_TOOL_LOOP,Agentic Investigation,ESCALATE,RESOLVED,ESCALATE,ESCALATE,FAIL,PASS,PASS,FALSE_CLOSURE,NONE,NONE,3,1,3,N/A,1.08
AG-010_IRRELEVANT_EVIDENCE_TRAP,Agentic Investigation,ESCALATE,RESOLVED,ESCALATE,ESCALATE,FAIL,PASS,PASS,FALSE_CLOSURE,NONE,NONE,2,1,2,N/A,0.62
AG-011_CONTRADICTORY_TOOL_RESULTS,Agentic Investigation,ESCALATE,RESOLVED,ESCALATE,ESCALATE,FAIL,PASS,PASS,FALSE_CLOSURE,NONE,NONE,2,1,2,N/A,1.32
AG-012_CONFIDENT_BUT_WRONG_AI,Agentic Investigation,ESCALATE,ESCALATE,ESCALATE,ESCALATE,PASS,PASS,PASS,NONE,NONE,NONE,3,0,1,N/A,1.07
AG-013_BUDGET_EXHAUSTION,Agentic Investigation,ESCALATE,RESOLVED,ESCALATE,ESCALATE,FAIL,PASS,PASS,FALSE_CLOSURE,NONE,NONE,3,3,3,N/A,1.00
