id,amount,currency,status,created_at
order_base_0001,2105200,INR,paid,2026-08-01T13:48:00
order_base_0002,2437000,INR,paid,2026-08-01T18:36:00
order_base_0003,317000,INR,paid,2026-08-01T23:24:00
order_base_0004,1481900,INR,paid,2026-08-02T04:12:00
order_base_0005,519400,INR,paid,2026-08-02T09:00:00
order_base_0006,1137000,INR,paid,2026-08-02T13:48:00
order_base_0007,1818900,INR,paid,2026-08-02T18:36:00
order_base_0008,2176800,INR,paid,2026-08-02T23:24:00
order_base_0009,1495700,INR,paid,2026-08-03T04:12:00
order_base_0010,2249800,INR,paid,2026-08-03T09:00:00
order_base_0011,1253300,INR,paid,2026-08-03T13:48:00
order_base_0012,193200,INR,paid,2026-08-03T18:36:00
order_base_0013,2362400,INR,paid,2026-08-03T23:24:00
order_base_0014,2451100,INR,paid,2026-08-04T04:12:00
order_base_0015,728600,INR,paid,2026-08-04T09:00:00
order_base_0016,164300,INR,paid,2026-08-04T13:48:00
order_base_0017,218100,INR,paid,2026-08-04T18:36:00
order_base_0018,1769500,INR,paid,2026-08-04T23:24:00
order_base_0019,1434600,INR,paid,2026-08-05T04:12:00
order_base_0020,358600,INR,paid,2026-08-05T09:00:00
order_base_0021,661700,INR,paid,2026-08-05T13:48:00
order_base_0022,73800,INR,paid,2026-08-05T18:36:00
order_base_0023,2408300,INR,paid,2026-08-05T23:24:00
order_base_0024,551000,INR,paid,2026-08-06T04:12:00
order_base_0025,1031400,INR,paid,2026-08-06T09:00:00
order_base_0026,822300,INR,paid,2026-08-06T13:48:00
order_base_0027,242600,INR,paid,2026-08-06T18:36:00
order_base_0028,1092700,INR,paid,2026-08-06T23:24:00
order_base_0029,1881100,INR,paid,2026-08-07T04:12:00
order_base_0030,1422400,INR,paid,2026-08-07T09:00:00
order_base_0031,1329300,INR,paid,2026-08-07T13:48:00
order_base_0032,633200,INR,paid,2026-08-07T18:36:00
order_base_0033,1813300,INR,paid,2026-08-07T23:24:00
order_base_0034,1341700,INR,paid,2026-08-08T04:12:00
order_base_0035,879000,INR,paid,2026-08-08T09:00:00
order_base_0036,2403700,INR,paid,2026-08-08T13:48:00
order_base_0037,632200,INR,paid,2026-08-08T18:36:00
order_base_0038,197300,INR,paid,2026-08-08T23:24:00
order_base_0039,1959800,INR,paid,2026-08-09T04:12:00
order_base_0040,278600,INR,paid,2026-08-09T09:00:00
order_base_0041,2356800,INR,paid,2026-08-09T13:48:00
order_base_0042,1511700,INR,paid,2026-08-09T18:36:00
order_base_0043,444000,INR,paid,2026-08-09T23:24:00
order_base_0044,526900,INR,paid,2026-08-10T04:12:00
order_base_0045,2198400,INR,paid,2026-08-10T09:00:00
order_base_0046,876600,INR,paid,2026-08-10T13:48:00
order_base_0047,1133500,INR,paid,2026-08-10T18:36:00
order_base_0048,2088400,INR,paid,2026-08-10T23:24:00
order_base_0049,2438800,INR,paid,2026-08-11T04:12:00
order_base_0050,128000,INR,paid,2026-08-11T09:00:00
order_base_0051,147000,INR,paid,2026-08-11T13:48:00
order_base_0052,346800,INR,paid,2026-08-11T18:36:00
order_base_0053,542400,INR,paid,2026-08-11T23:24:00
order_base_0054,2423500,INR,paid,2026-08-12T04:12:00
order_base_0055,531600,INR,paid,2026-08-12T09:00:00
order_base_0056,663900,INR,paid,2026-08-12T13:48:00
order_base_0057,87500,INR,paid,2026-08-12T18:36:00
order_base_0058,2112000,INR,paid,2026-08-12T23:24:00
order_base_0059,595100,INR,paid,2026-08-13T04:12:00
order_base_0060,2397200,INR,paid,2026-08-13T09:00:00
order_base_0061,1899300,INR,paid,2026-08-13T13:48:00
order_base_0062,1423200,INR,paid,2026-08-13T18:36:00
order_base_0063,994000,INR,paid,2026-08-13T23:24:00
order_base_0064,1387700,INR,paid,2026-08-14T04:12:00
order_base_0065,1805400,INR,paid,2026-08-14T09:00:00
order_base_0066,1910400,INR,paid,2026-08-14T13:48:00
order_base_0067,2421500,INR,paid,2026-08-14T18:36:00
order_base_0068,1027100,INR,paid,2026-08-14T23:24:00
order_base_0069,1368000,INR,paid,2026-08-15T04:12:00
order_base_0070,1319500,INR,paid,2026-08-15T09:00:00
order_base_0071,2290300,INR,paid,2026-08-15T13:48:00
order_base_0072,1750400,INR,paid,2026-08-15T18:36:00
order_base_0073,1805200,INR,paid,2026-08-15T23:24:00
order_base_0074,2099400,INR,paid,2026-08-16T04:12:00
order_base_0075,946200,INR,paid,2026-08-16T09:00:00
order_base_0076,2283900,INR,paid,2026-08-16T13:48:00
order_base_0077,214000,INR,paid,2026-08-16T18:36:00
order_base_0078,29300,INR,paid,2026-08-16T23:24:00
order_base_0079,2459400,INR,paid,2026-08-17T04:12:00
order_base_0080,904300,INR,paid,2026-08-17T09:00:00
order_base_0081,2049000,INR,paid,2026-08-17T13:48:00
order_base_0082,1414400,INR,paid,2026-08-17T18:36:00
order_base_0083,1081000,INR,paid,2026-08-17T23:24:00
order_base_0084,1777500,INR,paid,2026-08-18T04:12:00
order_base_0085,820200,INR,paid,2026-08-18T09:00:00
order_base_0086,724200,INR,paid,2026-08-18T13:48:00
order_base_0087,546600,INR,paid,2026-08-18T18:36:00
order_base_0088,2229500,INR,paid,2026-08-18T23:24:00
order_base_0089,1950100,INR,paid,2026-08-19T04:12:00
