id,amount,currency,status,normalized_status,order_id,method,bank,vpa,fee,tax,net_amount,error_code,error_description,created_at,captured_at,settled,settlement_id,provider
pay_base_0001,2105200,INR,captured,CAPTURED,order_base_0001,upi,ICIC,user_001@okhdfcbank,42104,7578,2055518,,,2026-08-01T13:49:22,2026-08-01T13:50:10,true,setl_base_0001,razorpay
pay_base_0002,2437000,INR,captured,CAPTURED,order_base_0002,card,UTIB,,48740,8773,2379487,,,2026-08-01T18:36:46,2026-08-01T18:36:52,true,setl_base_0002,razorpay
pay_base_0003,317000,INR,captured,CAPTURED,order_base_0003,upi,HDFC,user_003@apl,6340,1141,309519,,,2026-08-01T23:28:04,2026-08-01T23:28:23,true,setl_base_0003,razorpay
pay_base_0004,1481900,INR,captured,CAPTURED,order_base_0004,upi,HDFC,user_004@okhdfcbank,29638,5334,1446928,,,2026-08-02T04:15:24,2026-08-02T04:15:46,true,setl_base_0004,razorpay
pay_base_0005,519400,INR,captured,CAPTURED,order_base_0005,upi,HDFC,user_005@okaxis,10388,1869,507143,,,2026-08-02T09:03:33,2026-08-02T09:04:32,true,setl_base_0005,razorpay
pay_base_0006,1137000,INR,captured,CAPTURED,order_base_0006,upi,PUNB,user_006@paytm,22740,4093,1110167,,,2026-08-02T13:51:43,2026-08-02T13:51:53,true,setl_base_0006,razorpay
pay_base_0007,1818900,INR,captured,CAPTURED,order_base_0007,upi,SBIN,user_007@apl,36378,6548,1775974,,,2026-08-02T18:37:05,2026-08-02T18:37:12,true,setl_base_0007,razorpay
pay_base_0008,2176800,INR,captured,CAPTURED,order_base_0008,upi,HDFC,user_008@okhdfcbank,43536,7836,2125428,,,2026-08-02T23:27:44,2026-08-02T23:28:06,true,setl_base_0008,razorpay
pay_base_0009,1495700,INR,captured,CAPTURED,order_base_0009,upi,SBIN,user_009@oksbi,29914,5384,1460402,,,2026-08-03T04:14:46,2026-08-03T04:15:35,true,setl_base_0009,razorpay
pay_base_0010,2249800,INR,captured,CAPTURED,order_base_0010,upi,ICIC,user_010@apl,44996,8099,2196705,,,2026-08-03T09:01:53,2026-08-03T09:02:27,true,setl_base_0010,razorpay
pay_base_0011,1253300,INR,failed,FAILED,order_base_0011,upi,PUNB,user_011@apl,0,0,0,,,2026-08-03T13:51:16,,false,,razorpay
pay_base_0012,193200,INR,captured,CAPTURED,order_base_0012,upi,SBIN,user_012@paytm,3864,695,188641,,,2026-08-03T18:38:18,2026-08-03T18:38:59,true,setl_base_0001,razorpay
pay_base_0013,2362400,INR,captured,CAPTURED,order_base_0013,upi,UTIB,user_013@paytm,47248,8504,2306648,,,2026-08-03T23:25:41,2026-08-03T23:26:01,true,setl_base_0002,razorpay
pay_base_0014,2451100,INR,captured,CAPTURED,order_base_0014,upi,KKBK,user_014@paytm,49022,8823,2393255,,,2026-08-04T04:15:54,2026-08-04T04:16:22,true,setl_base_0003,razorpay
pay_base_0015,728600,INR,captured,CAPTURED,order_base_0015,netbanking,UTIB,,14572,2622,711406,,,2026-08-04T09:01:16,2026-08-04T09:02:09,true,setl_base_0004,razorpay
pay_base_0016,164300,INR,captured,CAPTURED,order_base_0016,card,ICIC,,3286,591,160423,,,2026-08-04T13:52:06,2026-08-04T13:52:49,true,setl_base_0005,razorpay
pay_base_0017,218100,INR,captured,CAPTURED,order_base_0017,upi,UTIB,user_017@apl,4362,785,212953,,,2026-08-04T18:37:28,2026-08-04T18:38:16,true,setl_base_0006,razorpay
pay_base_0018,1769500,INR,captured,CAPTURED,order_base_0018,card,SBIN,,35390,6370,1727740,,,2026-08-04T23:25:27,2026-08-04T23:25:50,true,setl_base_0007,razorpay
pay_base_0019,1434600,INR,captured,CAPTURED,order_base_0019,upi,PUNB,user_019@oksbi,28692,5164,1400744,,,2026-08-05T04:14:01,2026-08-05T04:14:38,true,setl_base_0008,razorpay
pay_base_0020,358600,INR,captured,CAPTURED,order_base_0020,card,PUNB,,7172,1290,350138,,,2026-08-05T09:04:49,2026-08-05T09:05:32,true,setl_base_0009,razorpay
pay_base_0021,661700,INR,captured,CAPTURED,order_base_0021,upi,KKBK,user_021@apl,13234,2382,646084,,,2026-08-05T13:51:15,2026-08-05T13:51:51,true,setl_base_0010,razorpay
pay_base_0022,73800,INR,captured,CAPTURED,order_base_0022,upi,SBIN,user_022@okhdfcbank,1476,265,72059,,,2026-08-05T18:37:10,2026-08-05T18:37:20,true,setl_base_0001,razorpay
pay_base_0023,2408300,INR,captured,CAPTURED,order_base_0023,upi,KKBK,user_023@okhdfcbank,48166,8669,2351465,,,2026-08-05T23:28:33,2026-08-05T23:29:13,true,setl_base_0002,razorpay
pay_base_0024,551000,INR,captured,CAPTURED,order_base_0024,upi,UTIB,user_024@okhdfcbank,11020,1983,537997,,,2026-08-06T04:14:12,2026-08-06T04:15:02,true,setl_base_0003,razorpay
pay_base_0025,1031400,INR,captured,CAPTURED,order_base_0025,upi,SBIN,user_025@paytm,20628,3713,1007059,,,2026-08-06T09:04:21,2026-08-06T09:04:33,true,setl_base_0004,razorpay
pay_base_0026,822300,INR,captured,CAPTURED,order_base_0026,upi,KKBK,user_026@apl,16446,2960,802894,,,2026-08-06T13:50:22,2026-08-06T13:50:27,true,setl_base_0005,razorpay
pay_base_0027,242600,INR,captured,CAPTURED,order_base_0027,card,HDFC,,4852,873,236875,,,2026-08-06T18:36:46,2026-08-06T18:37:46,true,setl_base_0006,razorpay
pay_base_0028,1092700,INR,captured,CAPTURED,order_base_0028,upi,PUNB,user_028@paytm,21854,3933,1066913,,,2026-08-06T23:25:37,2026-08-06T23:26:28,true,setl_base_0007,razorpay
pay_base_0029,1881100,INR,captured,CAPTURED,order_base_0029,upi,UTIB,user_029@paytm,37622,6771,1836707,,,2026-08-07T04:13:19,2026-08-07T04:14:06,true,setl_base_0008,razorpay
pay_base_0030,1422400,INR,captured,CAPTURED,order_base_0030,upi,PUNB,user_030@okaxis,28448,5120,1388832,,,2026-08-07T09:01:20,2026-08-07T09:01:28,true,setl_base_0009,razorpay
pay_base_0031,1329300,INR,captured,CAPTURED,order_base_0031,card,HDFC,,26586,4785,1297929,,,2026-08-07T13:50:37,2026-08-07T13:50:54,true,setl_base_0010,razorpay
pay_base_0032,633200,INR,captured,CAPTURED,order_base_0032,upi,ICIC,user_032@oksbi,12664,2279,618257,,,2026-08-07T18:37:08,2026-08-07T18:37:41,true,setl_base_0001,razorpay
pay_base_0033,1813300,INR,captured,CAPTURED,order_base_0033,upi,KKBK,user_033@okaxis,36266,6527,1770507,,,2026-08-07T23:26:31,2026-08-07T23:26:46,true,setl_base_0002,razorpay
pay_base_0034,1341700,INR,captured,CAPTURED,order_base_0034,upi,UTIB,user_034@okaxis,26834,4830,1310036,,,2026-08-08T04:12:31,2026-08-08T04:13:00,true,setl_base_0003,razorpay
pay_base_0035,879000,INR,captured,CAPTURED,order_base_0035,netbanking,SBIN,,17580,3164,858256,,,2026-08-08T09:04:06,2026-08-08T09:04:55,true,setl_base_0004,razorpay
pay_base_0036,2403700,INR,captured,CAPTURED,order_base_0036,netbanking,PUNB,,48074,8653,2346973,,,2026-08-08T13:52:39,2026-08-08T13:52:53,true,setl_base_0005,razorpay
pay_base_0037,632200,INR,failed,FAILED,order_base_0037,upi,KKBK,user_037@apl,0,0,0,,,2026-08-08T18:39:10,,false,,razorpay
pay_base_0038,197300,INR,captured,CAPTURED,order_base_0038,upi,KKBK,user_038@okhdfcbank,3946,710,192644,,,2026-08-08T23:26:05,2026-08-08T23:26:14,true,setl_base_0006,razorpay
pay_base_0039,1959800,INR,captured,CAPTURED,order_base_0039,upi,UTIB,user_039@okaxis,39196,7055,1913549,,,2026-08-09T04:12:50,2026-08-09T04:13:34,true,setl_base_0007,razorpay
pay_base_0040,278600,INR,captured,CAPTURED,order_base_0040,upi,KKBK,user_040@oksbi,5572,1002,272026,,,2026-08-09T09:02:14,2026-08-09T09:03:01,true,setl_base_0008,razorpay
pay_base_0041,2356800,INR,captured,CAPTURED,order_base_0041,upi,ICIC,user_041@oksbi,47136,8484,2301180,,,2026-08-09T13:49:07,2026-08-09T13:49:12,true,setl_base_0009,razorpay
pay_base_0042,1511700,INR,captured,CAPTURED,order_base_0042,upi,HDFC,user_042@okaxis,30234,5442,1476024,,,2026-08-09T18:40:49,2026-08-09T18:41:10,true,setl_base_0010,razorpay
pay_base_0043,444000,INR,captured,CAPTURED,order_base_0043,netbanking,ICIC,,8880,1598,433522,,,2026-08-09T23:27:39,2026-08-09T23:28:02,true,setl_base_0001,razorpay
pay_base_0044,526900,INR,captured,CAPTURED,order_base_0044,upi,SBIN,user_044@apl,10538,1896,514466,,,2026-08-10T04:17:00,2026-08-10T04:17:05,true,setl_base_0002,razorpay
pay_base_0045,2198400,INR,captured,CAPTURED,order_base_0045,card,PUNB,,43968,7914,2146518,,,2026-08-10T09:01:23,2026-08-10T09:01:36,true,setl_base_0003,razorpay
pay_base_0046,876600,INR,captured,CAPTURED,order_base_0046,upi,KKBK,user_046@okhdfcbank,17532,3155,855913,,,2026-08-10T13:50:17,2026-08-10T13:51:07,true,setl_base_0004,razorpay
pay_base_0047,1133500,INR,captured,CAPTURED,order_base_0047,upi,SBIN,user_047@apl,22670,4080,1106750,,,2026-08-10T18:36:56,2026-08-10T18:37:06,true,setl_base_0005,razorpay
pay_base_0048,2088400,INR,captured,CAPTURED,order_base_0048,upi,HDFC,user_048@oksbi,41768,7518,2039114,,,2026-08-10T23:26:44,2026-08-10T23:26:59,true,setl_base_0006,razorpay
pay_base_0049,2438800,INR,captured,CAPTURED,order_base_0049,upi,KKBK,user_049@okaxis,48776,8779,2381245,,,2026-08-11T04:13:46,2026-08-11T04:14:25,true,setl_base_0007,razorpay
pay_base_0050,128000,INR,captured,CAPTURED,order_base_0050,card,ICIC,,2560,460,124980,,,2026-08-11T09:04:10,2026-08-11T09:04:23,true,setl_base_0008,razorpay
pay_base_0051,147000,INR,captured,CAPTURED,order_base_0051,upi,HDFC,user_051@oksbi,2940,529,143531,,,2026-08-11T13:50:37,2026-08-11T13:51:24,true,setl_base_0009,razorpay
pay_base_0052,346800,INR,captured,CAPTURED,order_base_0052,upi,UTIB,user_052@apl,6936,1248,338616,,,2026-08-11T18:38:31,2026-08-11T18:39:31,true,setl_base_0010,razorpay
pay_base_0053,542400,INR,captured,CAPTURED,order_base_0053,netbanking,UTIB,,10848,1952,529600,,,2026-08-11T23:24:42,2026-08-11T23:24:58,true,setl_base_0001,razorpay
pay_base_0054,2423500,INR,captured,CAPTURED,order_base_0054,netbanking,UTIB,,48470,8724,2366306,,,2026-08-12T04:14:37,2026-08-12T04:14:59,true,setl_base_0002,razorpay
pay_base_0055,531600,INR,captured,CAPTURED,order_base_0055,card,HDFC,,10632,1913,519055,,,2026-08-12T09:04:30,2026-08-12T09:04:49,true,setl_base_0003,razorpay
pay_base_0056,663900,INR,captured,CAPTURED,order_base_0056,card,SBIN,,13278,2390,648232,,,2026-08-12T13:50:26,2026-08-12T13:50:45,true,setl_base_0004,razorpay
pay_base_0057,87500,INR,captured,CAPTURED,order_base_0057,upi,SBIN,user_057@okaxis,1750,315,85435,,,2026-08-12T18:38:52,2026-08-12T18:39:19,true,setl_base_0005,razorpay
pay_base_0058,2112000,INR,captured,CAPTURED,order_base_0058,upi,KKBK,user_058@oksbi,42240,7603,2062157,,,2026-08-12T23:25:29,2026-08-12T23:25:50,true,setl_base_0006,razorpay
pay_base_0059,595100,INR,failed,FAILED,order_base_0059,upi,HDFC,user_059@okaxis,0,0,0,,,2026-08-13T04:15:26,,false,,razorpay
pay_base_0060,2397200,INR,captured,CAPTURED,order_base_0060,card,KKBK,,47944,8629,2340627,,,2026-08-13T09:01:29,2026-08-13T09:01:58,true,setl_base_0007,razorpay
pay_base_0061,1899300,INR,captured,CAPTURED,order_base_0061,upi,UTIB,user_061@okaxis,37986,6837,1854477,,,2026-08-13T13:50:10,2026-08-13T13:50:38,true,setl_base_0008,razorpay
pay_base_0062,1423200,INR,captured,CAPTURED,order_base_0062,upi,SBIN,user_062@apl,28464,5123,1389613,,,2026-08-13T18:37:33,2026-08-13T18:38:24,true,setl_base_0009,razorpay
pay_base_0063,994000,INR,captured,CAPTURED,order_base_0063,upi,SBIN,user_063@paytm,19880,3578,970542,,,2026-08-13T23:25:35,2026-08-13T23:25:52,true,setl_base_0010,razorpay
pay_base_0064,1387700,INR,captured,CAPTURED,order_base_0064,upi,PUNB,user_064@okhdfcbank,27754,4995,1354951,,,2026-08-14T04:15:04,2026-08-14T04:15:34,true,setl_base_0001,razorpay
pay_base_0065,1805400,INR,captured,CAPTURED,order_base_0065,card,ICIC,,36108,6499,1762793,,,2026-08-14T09:04:10,2026-08-14T09:05:05,true,setl_base_0002,razorpay
pay_base_0066,1910400,INR,captured,CAPTURED,order_base_0066,upi,UTIB,user_066@paytm,38208,6877,1865315,,,2026-08-14T13:52:51,2026-08-14T13:53:26,true,setl_base_0003,razorpay
pay_base_0067,2421500,INR,captured,CAPTURED,order_base_0067,upi,KKBK,user_067@apl,48430,8717,2364353,,,2026-08-14T18:38:30,2026-08-14T18:39:18,true,setl_base_0004,razorpay
pay_base_0068,1027100,INR,captured,CAPTURED,order_base_0068,upi,HDFC,user_068@okaxis,20542,3697,1002861,,,2026-08-14T23:25:07,2026-08-14T23:25:41,true,setl_base_0005,razorpay
pay_base_0069,1368000,INR,captured,CAPTURED,order_base_0069,card,PUNB,,27360,4924,1335716,,,2026-08-15T04:15:46,2026-08-15T04:16:22,true,setl_base_0006,razorpay
pay_base_0070,1319500,INR,captured,CAPTURED,order_base_0070,upi,HDFC,user_070@okaxis,26390,4750,1288360,,,2026-08-15T09:02:22,2026-08-15T09:02:38,true,setl_base_0007,razorpay
pay_base_0071,2290300,INR,captured,CAPTURED,order_base_0071,upi,ICIC,user_071@okaxis,45806,8245,2236249,,,2026-08-15T13:52:27,2026-08-15T13:53:14,true,setl_base_0008,razorpay
pay_base_0072,1750400,INR,captured,CAPTURED,order_base_0072,netbanking,UTIB,,35008,6301,1709091,,,2026-08-15T18:40:48,2026-08-15T18:41:20,true,setl_base_0009,razorpay
pay_base_0073,1805200,INR,captured,CAPTURED,order_base_0073,upi,UTIB,user_073@paytm,36104,6498,1762598,,,2026-08-15T23:26:36,2026-08-15T23:27:34,true,setl_base_0010,razorpay
pay_base_0074,2099400,INR,captured,CAPTURED,order_base_0074,upi,UTIB,user_074@okhdfcbank,41988,7557,2049855,,,2026-08-16T04:13:09,2026-08-16T04:13:59,true,setl_base_0001,razorpay
pay_base_0075,946200,INR,captured,CAPTURED,order_base_0075,upi,KKBK,user_075@okaxis,18924,3406,923870,,,2026-08-16T09:02:28,2026-08-16T09:02:57,true,setl_base_0002,razorpay
pay_base_0076,2283900,INR,captured,CAPTURED,order_base_0076,upi,UTIB,user_076@paytm,45678,8222,2230000,,,2026-08-16T13:52:28,2026-08-16T13:52:59,true,setl_base_0003,razorpay
pay_base_0077,214000,INR,captured,CAPTURED,order_base_0077,upi,KKBK,user_077@okaxis,4280,770,208950,,,2026-08-16T18:39:44,2026-08-16T18:40:19,true,setl_base_0004,razorpay
pay_base_0078,29300,INR,captured,CAPTURED,order_base_0078,netbanking,UTIB,,586,105,28609,,,2026-08-16T23:28:04,2026-08-16T23:28:43,true,setl_base_0005,razorpay
pay_base_0079,2459400,INR,captured,CAPTURED,order_base_0079,card,ICIC,,49188,8853,2401359,,,2026-08-17T04:16:39,2026-08-17T04:16:58,true,setl_base_0006,razorpay
pay_base_0080,904300,INR,captured,CAPTURED,order_base_0080,upi,SBIN,user_080@paytm,18086,3255,882959,,,2026-08-17T09:04:29,2026-08-17T09:04:42,true,setl_base_0007,razorpay
pay_base_0081,2049000,INR,captured,CAPTURED,order_base_0081,upi,KKBK,user_081@apl,40980,7376,2000644,,,2026-08-17T13:49:12,2026-08-17T13:49:58,true,setl_base_0008,razorpay
pay_base_0082,1414400,INR,captured,CAPTURED,order_base_0082,upi,HDFC,user_082@oksbi,28288,5091,1381021,,,2026-08-17T18:38:18,2026-08-17T18:38:52,true,setl_base_0009,razorpay
pay_base_0083,1081000,INR,captured,CAPTURED,order_base_0083,upi,SBIN,user_083@paytm,21620,3891,1055489,,,2026-08-17T23:24:39,2026-08-17T23:25:31,true,setl_base_0010,razorpay
pay_base_0084,1777500,INR,failed,FAILED,order_base_0084,upi,ICIC,user_084@okaxis,0,0,0,,,2026-08-18T04:12:45,,false,,razorpay
pay_base_0085,820200,INR,captured,CAPTURED,order_base_0085,upi,ICIC,user_085@okhdfcbank,16404,2952,800844,,,2026-08-18T09:01:28,2026-08-18T09:02:09,true,setl_base_0001,razorpay
pay_base_0086,724200,INR,captured,CAPTURED,order_base_0086,upi,SBIN,user_086@okhdfcbank,14484,2607,707109,,,2026-08-18T13:49:28,2026-08-18T13:50:22,true,setl_base_0002,razorpay
pay_base_0087,546600,INR,captured,CAPTURED,order_base_0087,netbanking,HDFC,,10932,1967,533701,,,2026-08-18T18:39:09,2026-08-18T18:39:50,true,setl_base_0003,razorpay
pay_base_0088,2229500,INR,captured,CAPTURED,order_base_0088,netbanking,PUNB,,44590,8026,2176884,,,2026-08-18T23:26:11,2026-08-18T23:26:20,true,setl_base_0004,razorpay
pay_base_0089,1950100,INR,captured,CAPTURED,order_base_0089,upi,HDFC,user_089@oksbi,39002,7020,1904078,,,2026-08-19T04:13:31,2026-08-19T04:14:26,true,setl_base_0005,razorpay
pay_base_0090,1864400,INR,captured,CAPTURED,order_base_0090,card,UTIB,,37288,6711,1820401,,,2026-08-19T09:03:39,2026-08-19T09:03:48,true,setl_base_0006,razorpay
pay_base_0091,1667900,INR,captured,CAPTURED,order_base_0091,upi,UTIB,user_091@paytm,33358,6004,1628538,,,2026-08-19T13:51:35,2026-08-19T13:52:20,true,setl_base_0007,razorpay
pay_base_0092,1516400,INR,captured,CAPTURED,order_base_0092,card,PUNB,,30328,5459,1480613,,,2026-08-19T18:40:57,2026-08-19T18:41:43,true,setl_base_0008,razorpay
pay_base_0093,895000,INR,captured,CAPTURED,order_base_0093,upi,UTIB,user_093@paytm,17900,3222,873878,,,2026-08-19T23:26:47,2026-08-19T23:27:12,true,setl_base_0009,razorpay
pay_base_0094,814400,INR,captured,CAPTURED,order_base_0094,card,UTIB,,16288,2931,795181,,,2026-08-20T04:14:34,2026-08-20T04:15:27,true,setl_base_0010,razorpay
pay_base_0095,1532700,INR,captured,CAPTURED,order_base_0095,upi,SBIN,user_095@okaxis,30654,5517,1496529,,,2026-08-20T09:04:39,2026-08-20T09:04:57,true,setl_base_0001,razorpay
pay_base_0096,1172600,INR,captured,CAPTURED,order_base_0096,card,KKBK,,23452,4221,1144927,,,2026-08-20T13:50:51,2026-08-20T13:51:31,true,setl_base_0002,razorpay
pay_base_0097,43200,INR,captured,CAPTURED,order_base_0097,upi,ICIC,user_097@paytm,864,155,42181,,,2026-08-20T18:38:33,2026-08-20T18:39:22,true,setl_base_0003,razorpay
pay_base_0098,1570000,INR,captured,CAPTURED,order_base_0098,upi,HDFC,user_098@okaxis,31400,5652,1532948,,,2026-08-20T23:27:57,2026-08-20T23:28:46,true,setl_base_0004,razorpay
pay_base_0099,807200,INR,captured,CAPTURED,order_base_0099,upi,UTIB,user_099@apl,16144,2905,788151,,,2026-08-21T04:16:07,2026-08-21T04:16:59,true,setl_base_0005,razorpay
pay_base_0100,1813500,INR,captured,CAPTURED,order_base_0100,upi,SBIN,user_100@oksbi,36270,6528,1770702,,,2026-08-21T09:01:31,2026-08-21T09:02:22,true,setl_base_0006,razorpay
pay_base_0101,641000,INR,captured,CAPTURED,order_base_0101,upi,PUNB,user_101@okhdfcbank,12820,2307,625873,,,2026-08-21T13:52:37,2026-08-21T13:52:59,true,setl_base_0007,razorpay
pay_base_0102,2384300,INR,captured,CAPTURED,order_base_0102,upi,KKBK,user_102@oksbi,47686,8583,2328031,,,2026-08-21T18:38:09,2026-08-21T18:38:32,true,setl_base_0008,razorpay
pay_base_0103,755400,INR,captured,CAPTURED,order_base_0103,upi,PUNB,user_103@apl,15108,2719,737573,,,2026-08-21T23:24:53,2026-08-21T23:25:01,true,setl_base_0009,razorpay
pay_base_0104,1823200,INR,failed,FAILED,order_base_0104,upi,PUNB,user_104@paytm,0,0,0,,,2026-08-22T04:14:55,,false,,razorpay
pay_base_0105,1548100,INR,captured,CAPTURED,order_base_0105,upi,HDFC,user_105@oksbi,30962,5573,1511565,,,2026-08-22T09:01:03,2026-08-22T09:01:33,true,setl_base_0010,razorpay
pay_base_0106,1621300,INR,captured,CAPTURED,order_base_0106,upi,HDFC,user_106@okhdfcbank,32426,5836,1583038,,,2026-08-22T13:51:05,2026-08-22T13:51:15,true,setl_base_0001,razorpay
pay_base_0107,823200,INR,captured,CAPTURED,order_base_0107,upi,KKBK,user_107@apl,16464,2963,803773,,,2026-08-22T18:38:25,2026-08-22T18:39:19,true,setl_base_0002,razorpay
pay_base_0108,1722300,INR,captured,CAPTURED,order_base_0108,upi,SBIN,user_108@apl,34446,6200,1681654,,,2026-08-22T23:27:06,2026-08-22T23:27:47,true,setl_base_0003,razorpay
pay_base_0109,2044900,INR,failed,FAILED,order_base_0109,upi,HDFC,user_109@okhdfcbank,0,0,0,,,2026-08-23T04:14:45,,false,,razorpay
pay_base_0110,2174000,INR,captured,CAPTURED,order_base_0110,upi,KKBK,user_110@okaxis,43480,7826,2122694,,,2026-08-23T09:03:59,2026-08-23T09:04:32,true,setl_base_0004,razorpay
pay_base_0111,2268900,INR,captured,CAPTURED,order_base_0111,upi,ICIC,user_111@oksbi,45378,8168,2215354,,,2026-08-23T13:52:22,2026-08-23T13:52:31,true,setl_base_0005,razorpay
pay_base_0112,2262400,INR,captured,CAPTURED,order_base_0112,upi,PUNB,user_112@apl,45248,8144,2209008,,,2026-08-23T18:38:11,2026-08-23T18:38:43,true,setl_base_0006,razorpay
pay_base_0113,386000,INR,captured,CAPTURED,order_base_0113,upi,SBIN,user_113@okhdfcbank,7720,1389,376891,,,2026-08-23T23:25:54,2026-08-23T23:26:49,true,setl_base_0007,razorpay
pay_base_0114,1017900,INR,captured,CAPTURED,order_base_0114,upi,SBIN,user_114@paytm,20358,3664,993878,,,2026-08-24T04:15:05,2026-08-24T04:15:54,true,setl_base_0008,razorpay
pay_base_0115,1328900,INR,captured,CAPTURED,order_base_0115,netbanking,UTIB,,26578,4784,1297538,,,2026-08-24T09:04:14,2026-08-24T09:04:24,true,setl_base_0009,razorpay
pay_base_0116,1969600,INR,captured,CAPTURED,order_base_0116,upi,SBIN,user_116@apl,39392,7090,1923118,,,2026-08-24T13:49:16,2026-08-24T13:49:35,true,setl_base_0010,razorpay
pay_base_0117,2219500,INR,captured,CAPTURED,order_base_0117,card,HDFC,,44390,7990,2167120,,,2026-08-24T18:38:47,2026-08-24T18:39:28,true,setl_base_0001,razorpay
pay_base_0118,141800,INR,captured,CAPTURED,order_base_0118,card,KKBK,,2836,510,138454,,,2026-08-24T23:28:16,2026-08-24T23:28:38,true,setl_base_0002,razorpay
pay_base_0119,604700,INR,captured,CAPTURED,order_base_0119,netbanking,UTIB,,12094,2176,590430,,,2026-08-25T04:13:16,2026-08-25T04:13:51,true,setl_base_0003,razorpay
pay_base_0120,1150100,INR,captured,CAPTURED,order_base_0120,upi,HDFC,user_120@okhdfcbank,23002,4140,1122958,,,2026-08-25T09:04:43,2026-08-25T09:05:06,true,setl_base_0004,razorpay
pay_base_0121,2181100,INR,captured,CAPTURED,order_base_0121,netbanking,KKBK,,43622,7851,2129627,,,2026-08-25T13:48:48,2026-08-25T13:49:22,true,setl_base_0005,razorpay
pay_base_0122,298500,INR,captured,CAPTURED,order_base_0122,upi,UTIB,user_122@apl,5970,1074,291456,,,2026-08-25T18:40:26,2026-08-25T18:40:57,true,setl_base_0006,razorpay
pay_base_0123,187600,INR,captured,CAPTURED,order_base_0123,upi,UTIB,user_123@paytm,3752,675,183173,,,2026-08-25T23:26:14,2026-08-25T23:26:36,true,setl_base_0007,razorpay
pay_base_0124,1809600,INR,captured,CAPTURED,order_base_0124,upi,PUNB,user_124@paytm,36192,6514,1766894,,,2026-08-26T04:14:32,2026-08-26T04:15:22,true,setl_base_0008,razorpay
pay_base_0125,528900,INR,captured,CAPTURED,order_base_0125,upi,UTIB,user_125@okaxis,10578,1904,516418,,,2026-08-26T09:01:30,2026-08-26T09:02:16,true,setl_base_0009,razorpay
pay_base_0126,514500,INR,captured,CAPTURED,order_base_0126,upi,KKBK,user_126@oksbi,10290,1852,502358,,,2026-08-26T13:52:23,2026-08-26T13:53:03,true,setl_base_0010,razorpay
pay_base_0127,483900,INR,failed,FAILED,order_base_0127,upi,KKBK,user_127@okhdfcbank,0,0,0,,,2026-08-26T18:38:51,,false,,razorpay
pay_base_0128,1369600,INR,captured,CAPTURED,order_base_0128,upi,SBIN,user_128@okaxis,27392,4930,1337278,,,2026-08-26T23:27:02,2026-08-26T23:28:00,true,setl_base_0001,razorpay
pay_base_0129,1933200,INR,captured,CAPTURED,order_base_0129,upi,ICIC,user_129@paytm,38664,6959,1887577,,,2026-08-27T04:15:26,2026-08-27T04:15:52,true,setl_base_0002,razorpay
pay_base_0130,1818500,INR,captured,CAPTURED,order_base_0130,card,SBIN,,36370,6546,1775584,,,2026-08-27T09:02:06,2026-08-27T09:02:55,true,setl_base_0003,razorpay
pay_base_0131,792500,INR,captured,CAPTURED,order_base_0131,upi,UTIB,user_131@okaxis,15850,2853,773797,,,2026-08-27T13:52:32,2026-08-27T13:53:22,true,setl_base_0004,razorpay
pay_base_0132,1259200,INR,captured,CAPTURED,order_base_0132,upi,PUNB,user_132@okhdfcbank,25184,4533,1229483,,,2026-08-27T18:40:47,2026-08-27T18:41:29,true,setl_base_0005,razorpay
pay_base_0133,1097800,INR,captured,CAPTURED,order_base_0133,card,UTIB,,21956,3952,1071892,,,2026-08-27T23:25:21,2026-08-27T23:25:59,true,setl_base_0006,razorpay
pay_base_0134,1507200,INR,captured,CAPTURED,order_base_0134,upi,PUNB,user_134@okhdfcbank,30144,5425,1471631,,,2026-08-28T04:14:45,2026-08-28T04:15:11,true,setl_base_0007,razorpay
pay_base_0135,2052200,INR,captured,CAPTURED,order_base_0135,upi,SBIN,user_135@apl,41044,7387,2003769,,,2026-08-28T09:04:39,2026-08-28T09:05:39,true,setl_base_0008,razorpay
pay_base_0136,1782800,INR,captured,CAPTURED,order_base_0136,upi,PUNB,user_136@oksbi,35656,6418,1740726,,,2026-08-28T13:49:16,2026-08-28T13:49:48,true,setl_base_0009,razorpay
pay_base_0137,332500,INR,captured,CAPTURED,order_base_0137,card,HDFC,,6650,1197,324653,,,2026-08-28T18:40:17,2026-08-28T18:40:32,true,setl_base_0010,razorpay
pay_base_0138,2284100,INR,captured,CAPTURED,order_base_0138,upi,SBIN,user_138@okaxis,45682,8222,2230196,,,2026-08-28T23:27:41,2026-08-28T23:28:13,true,setl_base_0001,razorpay
