id,amount,status,fees,tax,utr,gross_amount,refund_total,adjustment_total,dispute_total,transfer_total,expected_amount,variance,recon_status,created_at,settled_at,provider
setl_base_0001,16774641,processed,373956,67303,AXISCN5763350700,18697800,1481900,0,0,0,16774641,0,MATCHED,2026-08-04T09:00:00,2026-08-04T11:00:00,razorpay
setl_base_0002,19743281,processed,411082,73987,AXISCN3163970710,20554100,330850,5100,0,0,19743281,0,MATCHED,2026-08-07T09:00:00,2026-08-07T11:00:00,razorpay
setl_base_0003,15252377,processed,351678,63295,AXISCN9776185998,17583900,1938050,21500,0,0,15252377,0,MATCHED,2026-08-10T09:00:00,2026-08-10T11:00:00,razorpay
setl_base_0004,13802299,processed,341192,61409,AXISCN7534583219,17059600,2861000,6300,0,0,13802299,0,MATCHED,2026-08-13T09:00:00,2026-08-13T11:00:00,razorpay
setl_base_0005,15584112,processed,338512,60926,AXISCN5140460939,16925600,949650,7600,0,0,15584112,0,MATCHED,2026-08-16T09:00:00,2026-08-16T11:00:00,razorpay
setl_base_0006,15694018,processed,368380,66302,AXISCN7019900273,18419000,2290300,0,0,0,15694018,0,MATCHED,2026-08-19T09:00:00,2026-08-19T11:00:00,razorpay
setl_base_0007,15713012,processed,362538,65250,AXISCN3946766309,18126900,1973600,-12500,0,0,15713012,0,MATCHED,2026-08-22T09:00:00,2026-08-22T11:00:00,razorpay
setl_base_0008,18508572,processed,437318,78710,AXISCN9202102595,21865900,2795900,-45400,0,0,18508572,0,MATCHED,2026-08-25T09:00:00,2026-08-25T11:00:00,razorpay
setl_base_0009,14895853,processed,325850,58647,AXISCN5641959772,16292500,1000550,-11600,0,0,14895853,0,MATCHED,2026-08-28T09:00:00,2026-08-28T11:00:00,razorpay
setl_base_0010,16234839,processed,332260,59801,AXISCN3612617557,16613000,0,13900,0,0,16234839,0,MATCHED,2026-08-31T09:00:00,2026-08-31T11:00:00,razorpay
setl_scen_001_9984,288200,processed,10000,1800,AXISCN7573691558,500000,200000,0,0,0,288200,0,MATCHED,2026-08-04T09:00:00,2026-08-04T11:00:00,razorpay
setl_scen_002_8398,531120,processed,16000,2880,HDFCN8848705807,800000,250000,0,0,0,531120,0,MATCHED,2026-08-07T09:00:00,2026-08-07T11:00:00,razorpay
setl_scen_003_7992,476400,processed,20000,3600,ICICN9259157845,1000000,300000,0,0,0,676400,200000,VARIANCE_DETECTED,2026-08-10T09:00:00,2026-08-10T11:00:00,razorpay
setl_scen_004_2582,1364600,processed,30000,5400,SBIN005819946657,1500000,70000,-30000,0,0,1364600,0,MATCHED,2026-08-13T09:00:00,2026-08-13T11:00:00,razorpay
setl_scen_005_6761,341740,processed,7000,1260,KOTAKN1913706213,350000,0,0,0,0,341740,0,MATCHED,2026-08-16T09:00:00,2026-08-16T11:00:00,razorpay
setl_scen_007_3955,1952800,processed,40000,7200,BARBN6754503097,2000000,0,0,0,0,1952800,0,PENDING_BANK_CREDIT,2026-08-22T09:00:00,2026-08-22T11:00:00,razorpay
setl_scen_008_2140,771680,processed,24000,4320,PUNBN5173893550,1200000,0,0,0,0,1171680,400000,VARIANCE_DETECTED,2026-08-25T09:00:00,2026-08-25T11:00:00,razorpay
setl_scen_009_6585,528760,processed,18000,3240,UNIONN3560761628,900000,0,0,0,0,878760,350000,VARIANCE_DETECTED,2026-08-28T09:00:00,2026-08-28T11:00:00,razorpay
setl_scen_010_1815,1429200,processed,60000,10800,IDBIN06463640105,3000000,0,0,0,0,2929200,1500000,VARIANCE_DETECTED,2026-08-30T09:00:00,2026-08-30T11:00:00,razorpay
