upi_transaction_id,payment_id,order_id,rrn,amount,vpa,initiated_at,current_observed_status,final_determined_status,debit_observed,reversal_status,reversal_amount,financial_effect_status,financial_effect_amount,provider
upi_base_0001,pay_base_0001,order_base_0001,908053162473,2105200,user_001@okhdfcbank,2026-08-01T13:49:22,CAPTURED,SUCCESS,true,NONE,,DETERMINED,2105200,razorpay
upi_base_0003,pay_base_0003,order_base_0003,886833016361,317000,user_003@apl,2026-08-01T23:28:04,CAPTURED,SUCCESS,true,NONE,,DETERMINED,317000,razorpay
upi_base_0004,pay_base_0004,order_base_0004,566854953850,1481900,user_004@okhdfcbank,2026-08-02T04:15:24,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1481900,razorpay
upi_base_0005,pay_base_0005,order_base_0005,204710990461,519400,user_005@okaxis,2026-08-02T09:03:33,CAPTURED,SUCCESS,true,NONE,,DETERMINED,519400,razorpay
upi_base_0006,pay_base_0006,order_base_0006,235447068293,1137000,user_006@paytm,2026-08-02T13:51:43,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1137000,razorpay
upi_base_0007,pay_base_0007,order_base_0007,873919986476,1818900,user_007@apl,2026-08-02T18:37:05,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1818900,razorpay
upi_base_0008,pay_base_0008,order_base_0008,211095701426,2176800,user_008@okhdfcbank,2026-08-02T23:27:44,CAPTURED,SUCCESS,true,NONE,,DETERMINED,2176800,razorpay
upi_base_0009,pay_base_0009,order_base_0009,835339233454,1495700,user_009@oksbi,2026-08-03T04:14:46,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1495700,razorpay
upi_base_0010,pay_base_0010,order_base_0010,369419548116,2249800,user_010@apl,2026-08-03T09:01:53,CAPTURED,SUCCESS,true,NONE,,DETERMINED,2249800,razorpay
upi_base_0011,pay_base_0011,order_base_0011,852562516774,1253300,user_011@apl,2026-08-03T13:51:16,FAILED,FAILED,false,NONE,,DETERMINED,0,razorpay
upi_base_0012,pay_base_0012,order_base_0012,169869415070,193200,user_012@paytm,2026-08-03T18:38:18,CAPTURED,SUCCESS,true,NONE,,DETERMINED,193200,razorpay
upi_base_0013,pay_base_0013,order_base_0013,388376437635,2362400,user_013@paytm,2026-08-03T23:25:41,CAPTURED,SUCCESS,true,NONE,,DETERMINED,2362400,razorpay
upi_base_0014,pay_base_0014,order_base_0014,743806247029,2451100,user_014@paytm,2026-08-04T04:15:54,CAPTURED,SUCCESS,true,NONE,,DETERMINED,2451100,razorpay
upi_base_0017,pay_base_0017,order_base_0017,112637644335,218100,user_017@apl,2026-08-04T18:37:28,CAPTURED,SUCCESS,true,NONE,,DETERMINED,218100,razorpay
upi_base_0019,pay_base_0019,order_base_0019,653930041483,1434600,user_019@oksbi,2026-08-05T04:14:01,CAPTURED,SUCCESS,true,NONE,,DETERMINED,1434600,razorpay
upi_base_0021,pay_base_0021,order_base_0021,103944899549,661700,user_021@apl,2026-08-05T13:51:15,CAPTURED,SUCCESS,true,NONE,,DETERMINED,661700,razorpay
