settlement_line_id,settlement_id,source_event_id,source_event_type,payment_id,amount,fee,tax,net_amount,currency,event_timestamp,settlement_timestamp,provider
line_base_00001,setl_base_0001,pay_base_0001,PAYMENT,pay_base_0001,2105200,42104,7578,2055518,INR,2026-08-01T13:50:10,2026-08-04T09:00:00,razorpay
line_base_00002,setl_base_0001,pay_base_0012,PAYMENT,pay_base_0012,193200,3864,695,188641,INR,2026-08-03T18:38:59,2026-08-04T09:00:00,razorpay
line_base_00003,setl_base_0001,pay_base_0022,PAYMENT,pay_base_0022,73800,1476,265,72059,INR,2026-08-05T18:37:20,2026-08-04T09:00:00,razorpay
line_base_00004,setl_base_0001,pay_base_0032,PAYMENT,pay_base_0032,633200,12664,2279,618257,INR,2026-08-07T18:37:41,2026-08-04T09:00:00,razorpay
line_base_00005,setl_base_0001,pay_base_0043,PAYMENT,pay_base_0043,444000,8880,1598,433522,INR,2026-08-09T23:28:02,2026-08-04T09:00:00,razorpay
line_base_00006,setl_base_0001,pay_base_0053,PAYMENT,pay_base_0053,542400,10848,1952,529600,INR,2026-08-11T23:24:58,2026-08-04T09:00:00,razorpay
line_base_00007,setl_base_0001,pay_base_0064,PAYMENT,pay_base_0064,1387700,27754,4995,1354951,INR,2026-08-14T04:15:34,2026-08-04T09:00:00,razorpay
line_base_00008,setl_base_0001,pay_base_0074,PAYMENT,pay_base_0074,2099400,41988,7557,2049855,INR,2026-08-16T04:13:59,2026-08-04T09:00:00,razorpay
line_base_00009,setl_base_0001,pay_base_0085,PAYMENT,pay_base_0085,820200,16404,2952,800844,INR,2026-08-18T09:02:09,2026-08-04T09:00:00,razorpay
line_base_00010,setl_base_0001,pay_base_0095,PAYMENT,pay_base_0095,1532700,30654,5517,1496529,INR,2026-08-20T09:04:57,2026-08-04T09:00:00,razorpay
line_base_00011,setl_base_0001,pay_base_0106,PAYMENT,pay_base_0106,1621300,32426,5836,1583038,INR,2026-08-22T13:51:15,2026-08-04T09:00:00,razorpay
line_base_00012,setl_base_0001,pay_base_0117,PAYMENT,pay_base_0117,2219500,44390,7990,2167120,INR,2026-08-24T18:39:28,2026-08-04T09:00:00,razorpay
line_base_00013,setl_base_0001,pay_base_0128,PAYMENT,pay_base_0128,1369600,27392,4930,1337278,INR,2026-08-26T23:28:00,2026-08-04T09:00:00,razorpay
line_base_00014,setl_base_0001,pay_base_0138,PAYMENT,pay_base_0138,2284100,45682,8222,2230196,INR,2026-08-28T23:28:13,2026-08-04T09:00:00,razorpay
line_base_00015,setl_base_0001,pay_base_0149,PAYMENT,pay_base_0149,1371500,27430,4937,1339133,INR,2026-08-31T04:15:47,2026-08-04T09:00:00,razorpay
line_base_00016,setl_base_0001,rfnd_base_0007,REFUND,pay_base_0004,1481900,0,0,-1481900,INR,2026-08-03T16:30:46,2026-08-04T09:00:00,razorpay
line_base_00017,setl_base_0002,pay_base_0002,PAYMENT,pay_base_0002,2437000,48740,8773,2379487,INR,2026-08-01T18:36:52,2026-08-07T09:00:00,razorpay
line_base_00018,setl_base_0002,pay_base_0013,PAYMENT,pay_base_0013,2362400,47248,8504,2306648,INR,2026-08-03T23:26:01,2026-08-07T09:00:00,razorpay
line_base_00019,setl_base_0002,pay_base_0023,PAYMENT,pay_base_0023,2408300,48166,8669,2351465,INR,2026-08-05T23:29:13,2026-08-07T09:00:00,razorpay
line_base_00020,setl_base_0002,pay_base_0033,PAYMENT,pay_base_0033,1813300,36266,6527,1770507,INR,2026-08-07T23:26:46,2026-08-07T09:00:00,razorpay
line_base_00021,setl_base_0002,pay_base_0044,PAYMENT,pay_base_0044,526900,10538,1896,514466,INR,2026-08-10T04:17:05,2026-08-07T09:00:00,razorpay
line_base_00022,setl_base_0002,pay_base_0054,PAYMENT,pay_base_0054,2423500,48470,8724,2366306,INR,2026-08-12T04:14:59,2026-08-07T09:00:00,razorpay
line_base_00023,setl_base_0002,pay_base_0065,PAYMENT,pay_base_0065,1805400,36108,6499,1762793,INR,2026-08-14T09:05:05,2026-08-07T09:00:00,razorpay
line_base_00024,setl_base_0002,pay_base_0075,PAYMENT,pay_base_0075,946200,18924,3406,923870,INR,2026-08-16T09:02:57,2026-08-07T09:00:00,razorpay
line_base_00025,setl_base_0002,pay_base_0086,PAYMENT,pay_base_0086,724200,14484,2607,707109,INR,2026-08-18T13:50:22,2026-08-07T09:00:00,razorpay
line_base_00026,setl_base_0002,pay_base_0096,PAYMENT,pay_base_0096,1172600,23452,4221,1144927,INR,2026-08-20T13:51:31,2026-08-07T09:00:00,razorpay
line_base_00027,setl_base_0002,pay_base_0107,PAYMENT,pay_base_0107,823200,16464,2963,803773,INR,2026-08-22T18:39:19,2026-08-07T09:00:00,razorpay
line_base_00028,setl_base_0002,pay_base_0118,PAYMENT,pay_base_0118,141800,2836,510,138454,INR,2026-08-24T23:28:38,2026-08-07T09:00:00,razorpay
line_base_00029,setl_base_0002,pay_base_0129,PAYMENT,pay_base_0129,1933200,38664,6959,1887577,INR,2026-08-27T04:15:52,2026-08-07T09:00:00,razorpay
line_base_00030,setl_base_0002,pay_base_0139,PAYMENT,pay_base_0139,487000,9740,1753,475507,INR,2026-08-29T04:13:54,2026-08-07T09:00:00,razorpay
line_base_00031,setl_base_0002,pay_base_0150,PAYMENT,pay_base_0150,549100,10982,1976,536142,INR,2026-08-31T09:02:02,2026-08-07T09:00:00,razorpay
line_base_00032,setl_base_0002,rfnd_base_0001,REFUND,pay_base_0021,330850,0,0,-330850,INR,2026-08-06T22:06:51,2026-08-07T09:00:00,razorpay
line_base_00033,setl_base_0002,adj_base_0002,ADJUSTMENT,,5100,0,0,5100,INR,2026-08-06T09:00:00,2026-08-07T09:00:00,razorpay
line_base_00034,setl_base_0003,pay_base_0003,PAYMENT,pay_base_0003,317000,6340,1141,309519,INR,2026-08-01T23:28:23,2026-08-10T09:00:00,razorpay
line_base_00035,setl_base_0003,pay_base_0014,PAYMENT,pay_base_0014,2451100,49022,8823,2393255,INR,2026-08-04T04:16:22,2026-08-10T09:00:00,razorpay
line_base_00036,setl_base_0003,pay_base_0024,PAYMENT,pay_base_0024,551000,11020,1983,537997,INR,2026-08-06T04:15:02,2026-08-10T09:00:00,razorpay
line_base_00037,setl_base_0003,pay_base_0034,PAYMENT,pay_base_0034,1341700,26834,4830,1310036,INR,2026-08-08T04:13:00,2026-08-10T09:00:00,razorpay
line_base_00038,setl_base_0003,pay_base_0045,PAYMENT,pay_base_0045,2198400,43968,7914,2146518,INR,2026-08-10T09:01:36,2026-08-10T09:00:00,razorpay
line_base_00039,setl_base_0003,pay_base_0055,PAYMENT,pay_base_0055,531600,10632,1913,519055,INR,2026-08-12T09:04:49,2026-08-10T09:00:00,razorpay
line_base_00040,setl_base_0003,pay_base_0066,PAYMENT,pay_base_0066,1910400,38208,6877,1865315,INR,2026-08-14T13:53:26,2026-08-10T09:00:00,razorpay
line_base_00041,setl_base_0003,pay_base_0076,PAYMENT,pay_base_0076,2283900,45678,8222,2230000,INR,2026-08-16T13:52:59,2026-08-10T09:00:00,razorpay
line_base_00042,setl_base_0003,pay_base_0087,PAYMENT,pay_base_0087,546600,10932,1967,533701,INR,2026-08-18T18:39:50,2026-08-10T09:00:00,razorpay
line_base_00043,setl_base_0003,pay_base_0097,PAYMENT,pay_base_0097,43200,864,155,42181,INR,2026-08-20T18:39:22,2026-08-10T09:00:00,razorpay
line_base_00044,setl_base_0003,pay_base_0108,PAYMENT,pay_base_0108,1722300,34446,6200,1681654,INR,2026-08-22T23:27:47,2026-08-10T09:00:00,razorpay
line_base_00045,setl_base_0003,pay_base_0119,PAYMENT,pay_base_0119,604700,12094,2176,590430,INR,2026-08-25T04:13:51,2026-08-10T09:00:00,razorpay
line_base_00046,setl_base_0003,pay_base_0130,PAYMENT,pay_base_0130,1818500,36370,6546,1775584,INR,2026-08-27T09:02:55,2026-08-10T09:00:00,razorpay
