id,amount,currency,payment_id,status,speed_requested,speed_processed,arn,created_at,processed_at,settlement_id,provider
rfnd_base_0001,330850,INR,pay_base_0021,processed,normal,normal,797545746023406,2026-08-06T21:51:51,2026-08-06T22:06:51,setl_base_0002,razorpay
rfnd_base_0002,979900,INR,pay_base_0039,processed,normal,normal,349239572469982,2026-08-10T17:13:34,2026-08-10T17:28:34,setl_base_0004,razorpay
rfnd_base_0003,949650,INR,pay_base_0061,processed,normal,normal,622718238224184,2026-08-15T07:50:38,2026-08-15T08:05:38,setl_base_0005,razorpay
rfnd_base_0004,411600,INR,pay_base_0107,processed,normal,normal,559701728087672,2026-08-23T15:39:19,2026-08-23T15:54:19,setl_base_0008,razorpay
rfnd_base_0005,1570000,INR,pay_base_0098,processed,normal,normal,141897175167549,2026-08-21T03:28:46,2026-08-21T03:43:46,setl_base_0007,razorpay
rfnd_base_0006,1031400,INR,pay_base_0025,processed,normal,normal,209427675501159,2026-08-07T18:04:33,2026-08-07T18:19:33,setl_base_0003,razorpay
rfnd_base_0007,1481900,INR,pay_base_0004,processed,normal,normal,537576145756430,2026-08-03T16:15:46,2026-08-03T16:30:46,setl_base_0001,razorpay
rfnd_base_0008,2290300,INR,pay_base_0071,processed,normal,normal,936702361525810,2026-08-17T09:53:14,2026-08-17T10:08:14,setl_base_0006,razorpay
rfnd_base_0009,473900,INR,pay_base_0146,processed,normal,normal,761285029798929,2026-09-01T01:51:07,2026-09-01T02:06:07,,razorpay
rfnd_base_0010,906650,INR,pay_base_0033,processed,normal,normal,567120150968925,2026-08-08T10:26:46,2026-08-08T10:41:46,setl_base_0003,razorpay
rfnd_base_0011,93800,INR,pay_base_0123,processed,normal,normal,559499720368689,2026-08-27T08:26:36,2026-08-27T08:41:36,setl_base_0009,razorpay
rfnd_base_0012,403600,INR,pay_base_0099,processed,normal,normal,877183062661171,2026-08-21T23:16:59,2026-08-21T23:31:59,setl_base_0007,razorpay
rfnd_base_0013,2384300,INR,pay_base_0102,processed,normal,normal,211863980949018,2026-08-23T00:38:32,2026-08-23T00:53:32,setl_base_0008,razorpay
rfnd_base_0014,906750,INR,pay_base_0100,processed,normal,normal,826012586615629,2026-08-22T10:02:22,2026-08-22T10:17:22,setl_base_0009,razorpay
rfnd_base_0015,1881100,INR,pay_base_0029,processed,normal,normal,313705872648859,2026-08-08T07:14:06,2026-08-08T07:29:06,setl_base_0004,razorpay
rfnd_scen_001_5505,200000,INR,pay_scen_001_3067,processed,normal,normal,,2026-08-03T11:00:00,2026-08-03T12:00:00,setl_scen_001_9984,razorpay
rfnd_scen_002_real_4522,250000,INR,pay_scen_002_r_2624,processed,normal,normal,,2026-08-06T10:00:00,2026-08-06T11:00:00,setl_scen_002_8398,razorpay
rfnd_scen_002_decoy_8046,250000,INR,pay_scen_002_d_2874,processed,normal,normal,,2026-08-06T10:00:00,2026-08-06T11:00:00,setl_scen_002_other_4743,razorpay
rfnd_scen_003_6120,300000,INR,pay_scen_003_2557,processed,normal,normal,,2026-08-09T10:00:00,2026-08-09T11:00:00,setl_scen_003_7992,razorpay
rfnd_scen_004_2527,70000,INR,pay_scen_004_2398,processed,normal,normal,,2026-08-12T10:00:00,2026-08-12T11:00:00,setl_scen_004_2582,razorpay
rfnd_scen_008_decoy_7566,400000,INR,pay_scen_008_3347,processed,normal,normal,,2026-09-14T09:00:00,2026-09-14T11:00:00,setl_future_batch,razorpay
